"country","humanDevelopmentIndex","pop2022"
"Austria","0.9080","8939.6170"
"Japan","0.9090","123951.6920"
"Liechtenstein","0.9160","39.3270"
"Belgium","0.9160","11655.9300"
"New Zealand","0.9170","5185.2880"
"Finland","0.9200","5540.7450"
"United Kingdom","0.9220","67508.9360"
"United States","0.9240","338289.8570"
"Canada","0.9260","38454.3270"
"Denmark","0.9290","5882.2610"
"Netherlands","0.9310","17564.0140"
"Singapore","0.9320","5975.6890"
"Hong Kong","0.9330","7488.8650"
"Sweden","0.9330","10549.3470"
"Iceland","0.9350","372.8990"
"Germany","0.9360","83369.8430"
"Ireland","0.9380","5023.1090"
"Australia","0.9390","26177.4130"
"Switzerland","0.9440","8740.4720"
"Norway","0.9530","5434.3190"
